pierwsza_stacja,druga_stacja,corr
GŁOGÓW,PRUDNIK (250170530) Suma opadów [mm],"[-0.02105148656324722, -0.003738588385159692, 0.0018762258596982696, 0.003939848643955412, -0.0011377703416067708, -0.010440517054409576, -0.018206321745267026, -0.018277860241910932, -0.03464108376293687, -0.03241784149142184, -0.01251833694163756, 0.03714012304829988, 0.11448491403315594, 0.1882284624838749, 0.1895806363492478, 0.16460236778986523, 0.13794497388048013, 0.1226833953693083, 0.10695989764397953]"
GŁOGÓW,PRZEWORNO (250170120) Suma opadów [mm],"[-0.004828712813935022, 0.007945779741247164, 0.008506371739128745, 0.014489185987301189, 0.009343029105341722, -0.0017522102993342793, -0.008583833675447175, -0.021266361896035275, -0.041741362979736046, -0.049303142357554196, -0.03165457196288247, 0.01944582147086103, 0.0928224606153724, 0.15858478448790778, 0.16772409275325975, 0.16660832923679258, 0.15659983516576992, 0.1484471588370067, 0.13999572181559325]"
GŁOGÓW,PSZENNO (250160090) Suma opadów [mm],"[-0.05320121576313956, -0.04498119631660046, -0.043136381280192156, -0.043008401661298254, -0.051863803821398505, -0.056869240888528884, -0.05558775051794369, -0.060741990225621864, -0.07248791337980767, -0.07510512180866598, -0.06368548235344534, -0.024751693905118416, 0.035318708522787685, 0.08849545010811992, 0.10468916413267891, 0.10150475756477038, 0.08986706737171313, 0.07504139299300194, 0.062495831573788296]"
GŁOGÓW,RACIBÓRZ (350180540) Suma opadów [mm],"[-0.01344727169493493, -0.012050542957758632, -0.009562156163164571, -0.002072835318593704, 0.004902695363326046, 0.0009650985092141507, -0.005857610672744312, -0.009007091780284575, -0.014680133411359734, -0.013658432326974322, -0.003130024242150547, 0.0303370602071678, 0.09241435632714654, 0.16087384083784398, 0.1683469126823644, 0.16190262258556215, 0.14863824509741702, 0.13416978167054291, 0.12164802856787525]"
GŁOGÓW,RACŁAWICE ŚLĄSKIE (250170540) Suma opadów [mm],"[-0.05784123861442984, -0.04423892407223853, -0.03935807283949475, -0.02643585594368739, -0.02221828656842476, -0.024663627294349982, -0.033039423637624514, -0.03128186723775469, -0.036222930292296264, -0.027138677585072803, -0.006996356178220093, 0.03433376941955776, 0.11450753847605574, 0.1876918008063075, 0.1833857327315557, 0.16429588617527113, 0.14451597464674573, 0.13252432849940823, 0.11471104456067738]"
GŁOGÓW,ROŻNÓW (251180230) Suma opadów [mm],"[-0.04403068334832764, -0.04173933655098387, -0.04348982031270177, -0.02813001366942245, -0.03120527458004318, -0.03310770040695697, -0.028715408086720465, -0.03843686870626144, -0.048406843775244915, -0.049352341183959605, -0.036121470114167865, 0.008175253586313158, 0.08109787424754165, 0.1456879369527066, 0.14677105778641752, 0.12319528981807647, 0.11279856323626539, 0.10059956544927874, 0.08285333608725721]"
GŁOGÓW,RUDNA (251160140) Suma opadów [mm],"[0.00742678754661708, 0.021049357020218297, 0.019774255507123934, 0.020409916209687483, 0.00875414878682927, -0.009669892727266574, -0.02526482433512797, -0.04021270599783328, -0.05222736333700899, -0.05531154339568521, -0.03083552579723512, 0.0113019823242576, 0.05922985764748395, 0.09716334436028731, 0.11452797605431879, 0.1061152874537954, 0.08584670655894443, 0.07212312648161776, 0.06490392413105896]"
GŁOGÓW,RYBNIK (250180510) Suma opadów [mm],"[-0.05354935861449503, -0.052104450488893984, -0.052950343710708454, -0.04872192972104924, -0.042677314944867095, -0.04604685773317075, -0.0518808516563136, -0.0525096901500444, -0.05455853367151349, -0.060397564747617885, -0.054702377003445574, -0.01596123728137713, 0.05597372630372146, 0.1384195172537673, 0.14191303724943793, 0.1275182322755854, 0.10542307439907928, 0.08689053904747662, 0.07384568156685567]"
GŁOGÓW,SŁOSZÓW (250160480) Suma opadów [mm],"[-0.06293334610540824, -0.05910835976648058, -0.058683410863426724, -0.05220826956056854, -0.05753641224703866, -0.06553157673854018, -0.0688114159634391, -0.07311107890540366, -0.07700401247490833, -0.07811111583818348, -0.07127117922691852, -0.043643431583308884, 0.005994409305393237, 0.06271265265895498, 0.07880740054345103, 0.07650239878500488, 0.06611318175534062, 0.053331891977485994, 0.04441032515221855]"
GŁOGÓW,SMOLICE (251170090) Suma opadów [mm],"[-0.022297743506418877, -0.021598045106913908, -0.024406431416429692, -0.02801431595636491, -0.03268671610002165, -0.03760433623044975, -0.0380611745848684, -0.04061029718624885, -0.046532665045646494, -0.044119677327628386, -0.03160496166468282, 0.0025797696581875366, 0.046942937172078744, 0.08901992821435085, 0.10483136240369088, 0.10015964633859711, 0.08452745844095547, 0.07324221459279992, 0.06928900947861834]"
GŁOGÓW,SREBRNA GÓRA (250160350) Suma opadów [mm],"[-0.034982131604314216, -0.02881879914897049, -0.030348066239878072, -0.030796699202279686, -0.03876569653977795, -0.04580215064927815, -0.04778711109332615, -0.05735770668602883, -0.06721530477431419, -0.06459348486979974, -0.05120877733618126, -0.018539753162464274, 0.03366190336451604, 0.09056512582647376, 0.09925605754175781, 0.08993569636137749, 0.075464415784807, 0.05771235124869679, 0.045440887853445446]"
GŁOGÓW,STARE OLESNO (250180030) Suma opadów [mm],"[-0.05841654302257894, -0.06139220377613669, -0.06141781292140027, -0.06179128153570745, -0.06572932121071497, -0.07495857332751199, -0.07809964224892088, -0.0835436326396095, -0.08715316656073925, -0.08310697485985588, -0.06920673042551044, -0.024662738773294404, 0.044015960776469534, 0.10943542393902222, 0.1185691464237496, 0.10669932720242223, 0.09714671016221771, 0.0913454990419869, 0.07818698139340567]"
GŁOGÓW,STRONIE ŚLĄSKIE (250160560) Suma opadów [mm],"[-0.025395277659429578, -0.019726293396474522, -0.022312149099291412, -0.026812994315113314, -0.0365237156348821, -0.04194236042661916, -0.04238605231599555, -0.04775105035034747, -0.05849767070665686, -0.05342853303448256, -0.0340231655888097, 0.003445354206968851, 0.06897878978407014, 0.1356941193115886, 0.14099257648591978, 0.13201486608543272, 0.11518599999838783, 0.0941571844589819, 0.07215378712067039]"
GŁOGÓW,STRZELIN (250170090) Suma opadów [mm],"[-0.0335877039830957, -0.0242499952918705, -0.024368283177412294, -0.017036770942966878, -0.026678517646737464, -0.02764474383391685, -0.03118234890308529, -0.03973062822554077, -0.052271132736808786, -0.054492386738153153, -0.03678840887790435, 0.00868594744071408, 0.07101653591490223, 0.13222334721865822, 0.14367331517410517, 0.13835555515157522, 0.12409294211113987, 0.11081372949890035, 0.09886557713148976]"
GŁOGÓW,SUKOWICE (250180380) Suma opadów [mm],"[-0.0863748453170092, -0.08268530791115121, -0.08398197013812221, -0.07557117364860261, -0.06675645753422495, -0.07322885216565468, -0.0830240022841701, -0.08786683920712819, -0.09278985221619183, -0.09072661021433344, -0.08132869061371915, -0.05063502777227951, 0.015067376771090104, 0.09795970476834397, 0.10703371094426857, 0.09561546554621962, 0.07640084441921445, 0.06358141094507211, 0.041306470486639865]"
GŁOGÓW,SZALEJÓW GÓRNY (250160840) Suma opadów [mm],"[-0.03915054690722237, -0.034146797331969056, -0.03566516441095162, -0.03678948762637873, -0.04337712331578045, -0.04586598972914984, -0.041639056957302176, -0.04881743765113445, -0.058196676624738625, -0.06054560466503, -0.05869703770591602, -0.029577575103831695, 0.01576191706320832, 0.07173064084982816, 0.07985422656474549, 0.06848088744432779, 0.04833094558714441, 0.028866168667223788, 0.01733927684614966]"
GŁOGÓW,SZCZAWNO-ZDRÓJ (250160130) Suma opadów [mm],"[-0.05421223782588739, -0.045851905532953395, -0.045587158500775014, -0.04748188941498154, -0.05692876016405655, -0.06290507915251861, -0.06550617474351343, -0.07260872012574389, -0.07911649380345173, -0.0768412938201406, -0.06466582302622172, -0.021666705542917157, 0.03524072196725463, 0.08587034997990992, 0.10297136299925432, 0.10289822209691095, 0.09160079065922065, 0.07621055366893151, 0.06759533159685237]"
GŁOGÓW,ŚWIERZAWA (251150360) Suma opadów [mm],"[-0.03063747706947643, -0.031557723977255044, -0.03536533018101636, -0.03721554610940466, -0.04686274523971296, -0.05473263669582398, -0.05974055296164766, -0.07016779392097702, -0.07892408258724087, -0.07456941903602467, -0.05795427545961157, -0.0044640942161806325, 0.04956466508484486, 0.0909659378782369, 0.10230745780029395, 0.09579176177748153, 0.0791300036990815, 0.06419515434797544, 0.05243512236134698]"
GŁOGÓW,TARNÓW (250160360) Suma opadów [mm],"[-0.03280015130457625, -0.026228067347099964, -0.026000087038123294, -0.02687283305137633, -0.03316400390122064, -0.037571452889658685, -0.035613377459706455, -0.03974459739892039, -0.0473460993404452, -0.04624422327048841, -0.03341039669274705, -0.0010791892657828128, 0.04659887664296953, 0.09727703477044161, 0.10770009772044405, 0.10467213205649532, 0.09576512627853605, 0.08523828059603639, 0.07412161230631391]"
GŁOGÓW,TRZEBNICA (251170210) Suma opadów [mm],"[-0.056243843541065194, -0.060049635994273494, -0.06133027104603594, -0.06716869952689053, -0.08404368340294303, -0.10526282872818402, -0.10212493642031281, -0.11100490914991405, -0.12016786485586188, -0.11931243024383617, -0.10557885526875718, -0.05982310343778498, -0.006469802303894443, 0.039953665455257185, 0.0463266937376678, 0.022692004591077033, -0.0016249740476751693, -0.025312828035919062, -0.04037111529795193]"
GŁOGÓW,TWARDOCICE (251150280) Suma opadów [mm],"[-0.04722438146981342, -0.0478897903594249, -0.05000162241603367, -0.05109815734496765, -0.06061992375344974, -0.07066431310702535, -0.07163819027741267, -0.08070655631640367, -0.08802893943681453, -0.08715514966661311, -0.07700920051956545, -0.03645001036229266, 0.01197860149981728, 0.04930448814651982, 0.060320930995408105, 0.05237367462256667, 0.03853380427687039, 0.024986558023252364, 0.01556943366424943]"
GŁOGÓW,WALIM (250160270) Suma opadów [mm],"[-0.03558271564564471, -0.0358874128970838, -0.04013807973911648, -0.043055484456633784, -0.0513929942492494, -0.05819039917241633, -0.05884011775144161, -0.07032904101064257, -0.08098345845296487, -0.07929034712434349, -0.06513023720534965, -0.025535285628634875, 0.031622974229885054, 0.0851233811416171, 0.09259537300702805, 0.08334232772626066, 0.06717912805686228, 0.04948449628174698, 0.03840532715230601]"
GŁOGÓW,WROCŁAW-STRACHOWICE (351160424) Suma opadów [mm],"[-0.02000414763742946, -0.016800023349287117, -0.022719686474195134, -0.022255257851410356, -0.026700192116592057, -0.029041183343650537, -0.02625016820680657, -0.029024195430784328, -0.03743959152639694, -0.04060211985513498, -0.03127214889720369, 0.00936569717829698, 0.05777902487350886, 0.10090211029330005, 0.11575279103022229, 0.11575453722939966, 0.10325860419118729, 0.09202174331451891, 0.08274616717375753]"
GŁOGÓW,ZIELENIEC (250160530) Suma opadów [mm],"[-0.06638780699228537, -0.06656156743259842, -0.06781093927903396, -0.06530428896792004, -0.07308151654181745, -0.08104951861653988, -0.08021495921507743, -0.08617920466176465, -0.0901693748731786, -0.09486619910407366, -0.08939613362353681, -0.056369622304863365, -0.007593392343085932, 0.04526868562919252, 0.05831017625543036, 0.05383036953418442, 0.044190024822343944, 0.03246830021585168, 0.02276652681798309]"
GŁOGÓW,ZIELINA (250170280) Suma opadów [mm],"[-0.04093315773540877, -0.030168183982196364, -0.02804627132052471, -0.019709471990370108, -0.019738676396045724, -0.026031519137533248, -0.03286020923008786, -0.03685767729522991, -0.03929316615269425, -0.03302101603588484, -0.014850445846029294, 0.03637433797680467, 0.11049161988212984, 0.17958787767136652, 0.1841933067686077, 0.17485151049523864, 0.15537285420384364, 0.14041257189196868, 0.1197307130874919]"
GŁOGÓW,ŹRÓDŁA (251160370) Suma opadów [mm],"[0.0033892158312550024, 0.008815495705773023, -0.009267814980279548, -0.020408159496808888, -0.03456914271698944, -0.03519421291422478, -0.031046494972333426, -0.04103976089460866, -0.0603835569416963, -0.06000488629462806, -0.04672072698400024, 0.01158043303988245, 0.08245148094465458, 0.12629192890635238, 0.13500162884769215, 0.14749520399962254, 0.14580022314107163, 0.1436351108823568, 0.15071909646263248]"
GŁOGÓW,średnia Suma opadów [mm],"[-0.03666947115427497, -0.032647122804510716, -0.03271622899115138, -0.03237144131871758, -0.03705426318631406, -0.04094388724738603, -0.04126942658497959, -0.04565394931244263, -0.051014480038400284, -0.04857413237864241, -0.03254043232124772, 0.013679088448096021, 0.08146345261537113, 0.15019858138101486, 0.16738875753908994, 0.15988253892433602, 0.1438310953736142, 0.1289934022851138, 0.11560482216817945]"
GŁOGÓW,mediana Suma opadów [mm],"[-0.022312596816254245, -0.018452945339527425, -0.01696532189650804, -0.01473554230134768, -0.01947403970034098, -0.02384657804326267, -0.023438977191791256, -0.028717131698260685, -0.03511305138729836, -0.0330489050552362, -0.016551374818489426, 0.02813046120330342, 0.09338655956433471, 0.15838619615059987, 0.17435671858695795, 0.1678752519153278, 0.1533115922898363, 0.13897928765251952, 0.12746625817929239]"
RACIBÓRZ-MIEDONIA,BARDO ŚLĄSKIE (250160410) Suma opadów [mm],"[-0.002837239195394854, -0.009776363793744094, -0.013617384193969545, -0.011019734227138095, -0.012679437987187387, -0.03089586158170359, -0.03708113254998894, -0.041577262781886615, -0.02840785366332032, 0.005618233730764097, 0.11890867214459723, 0.1703801145732999, 0.1500799235377387, 0.11538105763887654, 0.07968633192933729, 0.05347261326850369, 0.04173819680691332, 0.017291327866393615, 0.01680587783714352]"
RACIBÓRZ-MIEDONIA,BIERUTÓW (251170270) Suma opadów [mm],"[-0.05600956872046928, -0.06643785714182493, -0.07506390556172043, -0.07462976201697323, -0.06696416571575775, -0.07065739252932828, -0.07396256635512767, -0.08374158762871864, -0.06417026021246458, -0.02273163842393805, 0.08916928922742687, 0.13943030795433975, 0.11832374904140398, 0.08485844960559838, 0.04082477613327108, 0.022088382718478648, 0.004416980641473884, -0.010066214237615091, -0.008604853895430066]"
RACIBÓRZ-MIEDONIA,BOLESŁAWÓW (250160610) Suma opadów [mm],"[-0.030032371593093788, -0.03252441513414381, -0.033219324206025684, -0.025691252226392142, -0.02398274631295506, -0.03796183308385912, -0.04418725360664317, -0.04264312837721622, -0.02037987515152908, 0.039590702412115056, 0.17952264347878644, 0.23625636556196322, 0.19020300755169864, 0.1377320733483146, 0.09861351406574974, 0.0773705610076337, 0.07401125608763282, 0.060283006798488595, 0.058715908610183366]"
RACIBÓRZ-MIEDONIA,BOLKÓW (250160030) Suma opadów [mm],"[-0.013254275911457666, -0.026319462523668215, -0.038009794188603535, -0.028958691958487926, -0.03299635711352354, -0.04401185189766661, -0.04765892752670081, -0.05290379184671808, -0.02061368491493889, 0.029132872654530313, 0.13249788188219844, 0.16401554620394534, 0.1463422497788254, 0.11321203308346309, 0.09270557528820698, 0.07428330317329576, 0.05542729387842686, 0.036944086952893154, 0.038286804182158296]"
RACIBÓRZ-MIEDONIA,BORÓW (250160070) Suma opadów [mm],"[-0.003390992623220196, 0.01755381481595962, 0.011929413035276322, 0.01931369586168739, 0.008705880757780608, -0.011295954787421805, -0.027294517154158062, -0.03149131981185266, -0.01731106812832489, 0.01442733417071399, 0.11622154267601603, 0.17565977627966878, 0.15190893910609887, 0.11783639056585654, 0.08365937551906975, 0.06260908902166526, 0.049300898368705166, 0.02758905949542855, 0.02013074828876504]"
RACIBÓRZ-MIEDONIA,BRZEG (250170050) Suma opadów [mm],"[0.029618842085663653, 0.029012820554523616, 0.0065707203690452435, 0.004514044714865994, 0.006026022409880903, 1.1377453866946225e-06, -0.0157955069631103, -0.00877525741393145, 0.005971117906346622, 0.06463224808480224, 0.19670850007236998, 0.24496135926615453, 0.22761527046170293, 0.1938878404683031, 0.15299241311930917, 0.11609449112774461, 0.08344430169464336, 0.046758828685802466, 0.059325571776600486]"
RACIBÓRZ-MIEDONIA,BRZEG DOLNY (251160230) Suma opadów [mm],"[0.024086990270573448, 0.017548048804977907, 0.005988723566572614, 0.004857956459962093, -0.008532116412699372, -0.027623470433853915, -0.04277500853403055, -0.04653026707484497, -0.016864895284419004, 0.05203451775757029, 0.13755186063510705, 0.16057445087631828, 0.15636400692162958, 0.130482687561425, 0.10455137301555287, 0.09697361617361418, 0.07459859363667226, 0.04245955981531772, 0.04358436410667658]"
RACIBÓRZ-MIEDONIA,CHWAŁKOWICE (251160170) Suma opadów [mm],"[-0.029536955613741478, -0.035945780532033414, -0.04908439336703344, -0.048023843137821445, -0.04983508116432896, -0.05801415609923715, -0.059371151267995734, -0.06231711601984368, -0.04101702965541504, 0.006851671544692512, 0.08908266399876107, 0.12715181981151175, 0.12093608928211431, 0.09421717355978157, 0.06523888650641285, 0.049458321928076594, 0.03310189962915894, 0.01024474191695119, 0.00573191144700764]"
RACIBÓRZ-MIEDONIA,CIESZYN (249180130) Suma opadów [mm],"[-0.0664954556949934, -0.059969149528748954, -0.047496004251239766, -0.04358387635407926, -0.03884808666520209, -0.05285423941401788, -0.055127930695419144, -0.07171034905552065, -0.048358212018720544, 0.038252762833338984, 0.2987872871737645, 0.3469508651099165, 0.2722310176219125, 0.18871979411685658, 0.13524458676846152, 0.09557106604940632, 0.0762536846092752, 0.051443379335365066, 0.04598108875126745]"
RACIBÓRZ-MIEDONIA,CIESZYN (249180550) Suma opadów [mm],"[0.024881961149304736, 0.012252493322404455, 0.01678438934705012, 0.018755383321085627, 0.015136362786803978, 0.023997399736934596, 0.04996169037151219, 0.06397095188566775, 0.06307468229327144, 0.11166504407964456, 0.37781179437304835, 0.38551306812352254, 0.2710323458373472, 0.25838544929566054, 0.2493863862947511, 0.24922545357795228, 0.22651015004628286, 0.17300465193935863, 0.11965702885884581]"
RACIBÓRZ-MIEDONIA,DŁUGOPOLE-ZDRÓJ (250160590) Suma opadów [mm],"[0.0030640147709744443, -0.003004945350036115, -0.008209446852513378, -0.005587265355541645, 0.002193010060461314, -0.01222658972368567, -0.023582396030138182, -0.03649827760015877, -0.015162370546543303, 0.033380997019695095, 0.14702145766660354, 0.2137443835244263, 0.18308108551750346, 0.13467498246381265, 0.09746006706551659, 0.075722611673874, 0.07009142192958712, 0.05697264102000665, 0.05490448045746248]"
RACIBÓRZ-MIEDONIA,DOBROGOSZCZ (250170110) Suma opadów [mm],"[-0.031405658192466185, -0.030891451241735333, -0.029411438020132154, -0.026427307699373438, -0.03858339037656814, -0.056827776670903545, -0.07458428986614206, -0.08472529228763448, -0.06349475083658346, -0.019326894298522437, 0.10100068286085033, 0.1511984562975089, 0.1349799915252917, 0.09348212743419214, 0.06247539530930408, 0.03682066136621937, 0.010692135064200546, -0.00801860955296254, -0.0017671154884344917]"
RACIBÓRZ-MIEDONIA,DZIERŻONIÓW (250160260) Suma opadów [mm],"[0.022729805279301362, 0.009369502808327382, -0.002356055963382537, 0.0005157921641398651, 0.0021417305909921243, -0.02054752487584029, -0.043200760362204424, -0.04644603435363341, -0.030343539216860962, 0.018431391348054233, 0.1379103885098012, 0.17756847024236203, 0.15626742301797936, 0.12734445713295678, 0.10155372168469777, 0.0779541523055249, 0.052662400438190475, 0.030818897928056886, 0.02820561782013785]"
RACIBÓRZ-MIEDONIA,DZIEWIĘTLICE (250170290) Suma opadów [mm],"[0.0028043835784305215, -1.7250101145930975e-05, -0.0019067142606171408, 0.009841231716842138, -0.004833265888572448, -0.03110409387522006, -0.045839783852897206, -0.03936677031519821, -0.015394424002836943, 0.04008383500994174, 0.19034893418482232, 0.24550891007313105, 0.21488500721788578, 0.1700337714624628, 0.12856920045550452, 0.09464489779213786, 0.08735417747180323, 0.07148001869408936, 0.054587093468699555]"
RACIBÓRZ-MIEDONIA,GŁOGÓW (251160080) Suma opadów [mm],"[-0.00839589027823664, -0.011481616948419112, 0.0003828997207903831, 0.009815534282630331, -0.009324346553080185, -0.034211768303574364, -0.05045933420530548, -0.05087361745304731, -0.03218259235859488, -0.002629710667373839, 0.06594092728488701, 0.0854483100912922, 0.07280081582920885, 0.04040653235511082, 0.017681241470875384, -0.006685712898848133, -0.0363790901329275, -0.051655226277617775, -0.05190664533338984]"
RACIBÓRZ-MIEDONIA,GŁUBCZYCE (250170390) Suma opadów [mm],"[0.008887695377294624, 0.007929607020404844, -0.001399912178246652, -0.0028595095379477906, -0.00548783206197841, -0.022695715431464404, -0.0377296551546515, -0.03413981150497328, -0.011823843824721052, 0.058571794482367004, 0.26350963161206076, 0.31250662952339686, 0.2588874077242962, 0.21693437143598446, 0.1710624852565165, 0.13766481866100108, 0.12782882279767305, 0.10488637886112413, 0.08275397598462446]"
RACIBÓRZ-MIEDONIA,GŁUCHOŁAZY (250170330) Suma opadów [mm],"[0.044885006312661895, 0.04042414452052538, 0.031073508807506287, 0.029418736598228187, 0.014939033210456712, -0.009655097627440035, -0.022641112769694476, -0.029693322664924547, -0.0009073775216044139, 0.07643835884641706, 0.2585311802270348, 0.3135578392432185, 0.26808405032493043, 0.21767647641016144, 0.17644423597620218, 0.14887293390635628, 0.13934542797199329, 0.1154496036245325, 0.10283485502096801]"
RACIBÓRZ-MIEDONIA,GOŚCIEJOWICE (250170760) Suma opadów [mm],"[0.08418179701422943, 0.06094695573596768, 0.04589255047983221, 0.07016092575930365, -0.0015826933793599395, -0.04732511626267804, -0.0712576803201515, -0.04521540505749518, -0.01639383759402671, 0.06726305410521977, 0.2535866170859761, 0.30753163324397165, 0.25915484121364524, 0.22826745844660704, 0.21465703178753057, 0.22945429968750675, 0.21307829595998998, 0.1457332768419244, 0.11168647010344299]"
RACIBÓRZ-MIEDONIA,GRABOWNICA (251170150) Suma opadów [mm],"[0.005687523570705151, -0.01602233708556087, -0.02912536679310326, -0.02088899783921338, -0.021908987214263362, -0.0323645232704546, -0.04525994134976138, -0.05667604781328266, -0.039978173736750916, 0.019043337861389432, 0.13088860066226218, 0.18333225691611857, 0.1599057752810122, 0.12224581341419155, 0.08155982770260464, 0.06520856479383604, 0.05817814936375718, 0.04933527213526817, 0.04833363948053305]"
RACIBÓRZ-MIEDONIA,ISTEBNA-STECÓWKA (249180280) Suma opadów [mm],"[-0.06017189885396977, -0.07174021564071169, -0.07237326665186622, -0.066777259229298, -0.06788243531233716, -0.06637871738760424, -0.05617154044591187, -0.054862503837461156, -0.03712585596416061, 0.03426492865634148, 0.2761284036543406, 0.32204378180602455, 0.2417248061528758, 0.17386903004511717, 0.13014403074937847, 0.1147551809594162, 0.10086979612838917, 0.07633068128226232, 0.06569659081913284]"
RACIBÓRZ-MIEDONIA,ISTEBNA-WIEŚ (249180290) Suma opadów [mm],"[-0.10279117047777797, -0.09786519971464878, -0.0910080378014289, -0.08982975205535876, -0.09274258386965493, -0.09744200361686793, -0.0948399034768507, -0.1089901589771285, -0.10119621190584706, -0.04217313718252736, 0.19019516760895264, 0.25529560654627165, 0.19806922628235837, 0.11589025722827459, 0.06837424060659648, 0.04265144034360398, 0.03236189539535479, 0.012993742911122423, 0.005765548960114516]"
RACIBÓRZ-MIEDONIA,JARNOŁTÓWEK (250170340) Suma opadów [mm],"[0.01818731148446495, 0.006425918083044828, -0.0041591686207007325, 0.002858222055014511, -0.0024461297600340344, -0.017535547200833404, -0.0256414013879598, -0.029321702969360854, -0.002087660310802953, 0.07577847029572264, 0.2678063526655331, 0.31133797508842087, 0.2521568282118723, 0.19891306485552993, 0.15787839715680566, 0.13098111945173738, 0.12336892873217693, 0.10448726610893151, 0.09143367299128345]"
RACIBÓRZ-MIEDONIA,JAWOR (251160290) Suma opadów [mm],"[-0.018486230937977514, -0.018201236324472257, -0.017177677392267172, -2.750119342030811e-05, 0.0010468266626667397, -0.012511251324530123, -0.026821147898526142, -0.03310141652667505, 0.0014792185386279285, 0.04949735704780523, 0.14375189260529286, 0.17028711692987947, 0.1597112957368165, 0.12024325598985343, 0.09295190165365741, 0.07874744708009097, 0.06279794801934545, 0.036409772318131084, 0.02830095654336889]"
RACIBÓRZ-MIEDONIA,JEDLINA-ZDRÓJ (250160220) Suma opadów [mm],"[0.0036818422646715285, -0.009533909354481462, -0.015307632572855815, -0.005167281642651764, -0.01644495492191029, -0.03601258543593477, -0.05084242589770473, -0.0569814415931137, -0.03190459706524195, 0.023380058630659183, 0.13310596464989471, 0.16819233798305455, 0.1463916556402047, 0.11542713419205342, 0.08896143486135319, 0.07377980759959267, 0.052569186750894996, 0.03029689012927212, 0.023492687054739343]"
RACIBÓRZ-MIEDONIA,JELCZ-LASKOWICE (251170320) Suma opadów [mm],"[-0.027200447570342394, -0.0362615025348294, -0.039578026295661164, -0.029014925791204287, -0.030926634522937962, -0.04247039150929952, -0.04825052836985956, -0.05348378511304637, -0.03800974238567524, 0.006689508112710013, 0.12354088133393858, 0.18211023298388593, 0.1665396079531595, 0.13066405389324148, 0.08856364414942658, 0.06929992033314912, 0.05502303383261064, 0.03261273897001259, 0.035761333129749134]"
RACIBÓRZ-MIEDONIA,KACZORÓW (250150110) Suma opadów [mm],"[-0.0161336623920475, -0.01651693903294648, -0.021095065722145614, -0.019601141779214962, -0.030978875964472633, -0.04062591623730237, -0.045231147531537286, -0.05351439257521844, -0.021558779591987643, 0.024562588668846766, 0.11926967623562042, 0.15518465299724357, 0.15039932118732732, 0.11983517256933623, 0.10190660858394468, 0.07870184153598804, 0.05834174621075048, 0.03724276590939372, 0.04012453530560595]"
RACIBÓRZ-MIEDONIA,KAMIENICA (250160620) Suma opadów [mm],"[-0.02748094022447019, -0.030529349085065972, -0.03244311492077425, -0.02876598352147856, -0.028394030004207226, -0.039529969624305474, -0.044659945750004953, -0.046698677145470525, -0.028481452969710188, 0.0340018960536749, 0.18109583314394773, 0.24104467326154505, 0.19224907308494923, 0.13840326116492493, 0.10074277724973289, 0.08321536005283425, 0.0848844147810362, 0.06832588763707881, 0.06605758641947942]"
RACIBÓRZ-MIEDONIA,KĄTY WROCŁAWSKIE (251160310) Suma opadów [mm],"[0.03854871922037781, 0.03156946862995795, 0.013849368768173628, 0.020104186016392977, 0.007770198115576641, 0.007270928171253136, -0.0035785707873355883, -0.014947701255182903, 0.01329320954868853, 0.07242566142978653, 0.155504967018753, 0.18927372142022003, 0.1821844564135587, 0.14566916342973255, 0.12003260994014199, 0.1048763222209975, 0.07724194294635532, 0.04342296836101619, 0.028430001065789932]"
RACIBÓRZ-MIEDONIA,KŁODZKO (350160520) Suma opadów [mm],"[-0.004642384990743895, -0.004676211108659283, -0.001867043128268928, 0.009221362000546926, 0.010134442098606245, -0.0009449827638929024, -0.004941043619410129, -0.003136880924092911, 0.0004328280670990686, 0.02891428003097759, 0.1332123432106027, 0.19937709561940195, 0.18712106511707996, 0.15322218534427098, 0.11714096850096885, 0.08949272280821027, 0.0739150670367226, 0.0527513058781435, 0.05316596523871286]"
RACIBÓRZ-MIEDONIA,KOPICE (250170730) Suma opadów [mm],"[0.07889761339736028, 0.06572741116323372, 0.06186675389149715, 0.07149546494737453, 0.032396123526240904, 0.004755862612809903, -0.012450503506875772, -0.001710813614650047, 0.015619844036380977, 0.07803095857306719, 0.258046603478742, 0.30845778003227586, 0.26036629976980574, 0.2468493347888344, 0.23184166585310406, 0.22564824106453177, 0.2115538014465806, 0.1707900104760511, 0.1494689091800109]"
RACIBÓRZ-MIEDONIA,KORFANTÓW II (250170750) Suma opadów [mm],"[0.036208295586639815, 0.015145925689695179, 0.018484931984761917, 0.04626722756649857, 0.005143477677309541, -0.039970823920094385, -0.06914070792976793, -0.059649488554023314, -0.02717799508065549, 0.06102889134987896, 0.24802240940059272, 0.28698479319828823, 0.2460373010359752, 0.24114736977932477, 0.21185409117356596, 0.21026531851094388, 0.2067551598232945, 0.18717126154473035, 0.15080465398108603]"
RACIBÓRZ-MIEDONIA,KRUPSKI MŁYN (250180190) Suma opadów [mm],"[0.0060579620755295644, -0.0012882577712316065, -0.0019439648342760541, 0.0007940651173647983, -0.0031767669284762084, -0.005939635685775624, -0.008498917010027734, -0.005310287637820487, 0.0048584932886394485, 0.048672619078532015, 0.2418013705133209, 0.28200444501170424, 0.22552856756324532, 0.18626628772264378, 0.1462807307331528, 0.11816748957059643, 0.11664015624966613, 0.09829339749117759, 0.09312243877762962]"
